name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
,school,Burkina Faso,BFA,OSM,12.40763,-1.43317,,,
Ecole Famille,school,Burkina Faso,BFA,HOTOSM/OSM,12.391205,-1.454374,,,
Lycee Privé Oudisongdé,school,Burkina Faso,BFA,HOTOSM/OSM,12.400365,-1.462369,,,
Crèche maternelle bilingue Blessing,school,Burkina Faso,BFA,HOTOSM/OSM,12.402991,-1.467604,,,
École Wayalgin D,school,Burkina Faso,BFA,HOTOSM/OSM,12.397531,-1.46093,,,
Lycée William Ponty,school,Burkina Faso,BFA,HOTOSM/OSM,12.395858,-1.461923,,,
Lycée Newton Descartes,school,Burkina Faso,BFA,HOTOSM/OSM,12.393792,-1.469352,,,
Grand Séminaire Saint jean-baptiste,university,Burkina Faso,BFA,HOTOSM/OSM,12.395456,-1.476524,,,
ecole Wayalgin C,school,Burkina Faso,BFA,OSM,12.39884,-1.48006,,,
Groupe scolaire la source,school,Burkina Faso,BFA,HOTOSM/OSM,12.401833,-1.476777,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.415836,-1.440775,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.415096,-1.439433,school,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.410272,-1.436039,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.397579,-1.436444,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.398445,-1.43626,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.401261,-1.436518,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.343888,-1.432256,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.34637,-1.431999,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.342479,-1.426734,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.341797,-1.425695,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.357073,-1.423783,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.356155,-1.432412,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.356514,-1.435148,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.353803,-1.432105,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.350285,-1.431617,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.346445,-1.42894,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.348224,-1.434473,school,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.348349,-1.43935,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.349598,-1.436752,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.351349,-1.436598,,,
