name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Ecole franco-arabe,school,Burkina Faso,BFA,HOTOSM/OSM,12.377054,-0.605993,yes,,
Schule B,school,Burkina Faso,BFA,HOTOSM/OSM,12.023914,-3.615824,house,,
Salles de classe (LDB),college,Burkina Faso,BFA,HOTOSM/OSM,11.753015,-3.317491,yes,,
Salles de classe (LDB),college,Burkina Faso,BFA,HOTOSM/OSM,11.752641,-3.317432,yes,,
CEB I,school,Burkina Faso,BFA,HOTOSM/OSM,12.251905,-0.431245,yes,,
Administration du Lycée départemental de Bagassi,college,Burkina Faso,BFA,HOTOSM/OSM,11.752087,-3.317188,yes,,
Laboratoire,school,Burkina Faso,BFA,HOTOSM/OSM,11.765764,-2.932168,yes,,
Salles de classe (LDB),college,Burkina Faso,BFA,HOTOSM/OSM,11.752944,-3.317027,yes,,
Salles de classe (LDB),college,Burkina Faso,BFA,HOTOSM/OSM,11.753576,-3.316458,yes,,
Salles de classe (LDB),college,Burkina Faso,BFA,HOTOSM/OSM,11.753641,-3.316798,yes,,
La Bénédiction,school,Burkina Faso,BFA,HOTOSM/OSM,12.310648,-1.608411,,,private
Complexe scolaire Saint Ambroise,school,Burkina Faso,BFA,HOTOSM/OSM,12.304178,-1.615773,,,private
Business Intelligence Institute,college,Burkina Faso,BFA,HOTOSM/OSM,12.341927,-1.552731,,,private
Ecole privé elina,school,Burkina Faso,BFA,HOTOSM/OSM,12.355266,-1.553262,,,private
Lycée Professionnel de Bobo,school,Burkina Faso,BFA,HOTOSM/OSM,11.209438,-4.320114,,,public
Institut Supérieur de Développement d’Entreprises,college,Burkina Faso,BFA,HOTOSM/OSM,12.32943,-1.615641,,,private
Ecole CEFISE BENAJA DE BENDOGO,school,Burkina Faso,BFA,HOTOSM/OSM,12.388642,-1.454412,,,
École Tabtinga,school,Burkina Faso,BFA,HOTOSM/OSM,12.380264,-1.461488,,,
Groupe Scolaire Saint Viateur,school,Burkina Faso,BFA,HOTOSM/OSM,12.377835,-1.467295,,,
École Dassasgo C D,school,Burkina Faso,BFA,HOTOSM/OSM,12.373611,-1.476664,,,
ESTA Annexe,university,Burkina Faso,BFA,HOTOSM/OSM,12.370408,-1.475271,,,
École Wemtenga,school,Burkina Faso,BFA,HOTOSM/OSM,12.373356,-1.484527,,,
EPFWP,school,Burkina Faso,BFA,HOTOSM/OSM,12.381187,-1.479155,,,
Juvenat,school,Burkina Faso,BFA,HOTOSM/OSM,12.377409,-1.475099,,,
École Dassasgo A E F,school,Burkina Faso,BFA,HOTOSM/OSM,12.385423,-1.474666,,,
Lycée de la jeunesse,school,Burkina Faso,BFA,HOTOSM/OSM,12.382428,-1.476388,,,
ESSUPJ,university,Burkina Faso,BFA,HOTOSM/OSM,12.382979,-1.477018,,,
EGT Etablissement Gabriel Taborin de Saaba,school,Burkina Faso,BFA,HOTOSM/OSM,12.385506,-1.438364,,,
École Kossodo A D,school,Burkina Faso,BFA,HOTOSM/OSM,12.416795,-1.468462,,,
Université Privée de Ouagadougou,university,Burkina Faso,BFA,HOTOSM/OSM,12.412043,-1.46281,,,
مدرسة الأخلاق,school,Burkina Faso,BFA,HOTOSM/OSM,12.385698,-1.482416,,,
École Nabonswendé,school,Burkina Faso,BFA,HOTOSM/OSM,12.389695,-1.479816,,,
ENAREF,college,Burkina Faso,BFA,HOTOSM/OSM,12.391794,-1.479552,,,
Fondation Jean Paul II IPD AOS,school,Burkina Faso,BFA,HOTOSM/OSM,12.392227,-1.467418,,,
École primaire évangélique,school,Burkina Faso,BFA,HOTOSM/OSM,12.38447,-1.463385,,,
Lycée technique Amilcar cabral,school,Burkina Faso,BFA,HOTOSM/OSM,12.381924,-1.461985,,,
Noviciat,school,Burkina Faso,BFA,HOTOSM/OSM,12.384018,-1.460867,,,
Centre de Formation Biblique,school,Burkina Faso,BFA,HOTOSM/OSM,12.384412,-1.459244,,,
"Centre Islamique ""El Nour""",school,Burkina Faso,BFA,HOTOSM/OSM,12.382212,-1.460495,,,
Lyce prive la releve sougri nooma,school,Burkina Faso,BFA,HOTOSM/OSM,12.414524,-1.463171,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.382602,-1.440737,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.382032,-1.443419,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.384701,-1.442064,,,
Maternelle Gabriel Taborin,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.386544,-1.437541,,,
Ecole Trame d´accueil,school,Burkina Faso,BFA,HOTOSM/OSM,12.383098,-1.455285,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.372696,-1.436906,,,
Comlexe scolaire Guinkouma,school,Burkina Faso,BFA,HOTOSM/OSM,12.370213,-1.437026,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.370283,-1.439297,,,
Groupe scolaire sainte Colette,school,Burkina Faso,BFA,HOTOSM/OSM,12.374151,-1.458839,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.37749,-1.439492,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.402951,-1.439005,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.401096,-1.428483,,,
