Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Afghanistan,Herat,Kushk-i-Kuhna,AFG,AF3210,AF32,October,2023,0,0,34.8706638,62.547461
Afghanistan,Balkh,Chimtal,AFG,AF2108,AF21,October,2023,0,0,36.5866525,66.6880364
Afghanistan,Faryab,Qurghan,AFG,AF2912,AF29,October,2023,1,1,37.035864,64.942345
Afghanistan,Panjshir,Hissa-e-Awal (Khinj),AFG,AF0804,AF08,October,2023,0,0,35.4338536,69.7930899
Afghanistan,Kabul,Estalef,AFG,AF0113,AF01,October,2023,1,0,34.8514125,69.0275717
Afghanistan,Badakhshan,Tagab,AFG,AF1717,AF17,October,2023,0,0,36.48276,70.349632
Afghanistan,Logar,Khoshi,AFG,AF0504,AF05,October,2023,0,0,34.001255,69.274821
Afghanistan,Ghazni,Ghazni,AFG,AF1101,AF11,October,2023,1,0,33.5284427,68.4422677
Afghanistan,Faryab,Andkhoy,AFG,AF2913,AF29,October,2023,0,0,36.852884,65.285764
Afghanistan,Bamyan,Waras,AFG,AF1007,AF10,October,2023,0,0,34.151347,66.973499
Afghanistan,Nangarhar,Kuzkunar,AFG,AF0606,AF06,October,2023,0,0,34.559275,70.606808
Afghanistan,Nimruz,Kang,AFG,AF3402,AF34,October,2023,0,0,31.3211,61.835166
Afghanistan,Logar,Charkh,AFG,AF0503,AF05,October,2023,0,0,33.8174375,68.898277
Afghanistan,Faryab,Maimana,AFG,AF2901,AF29,October,2023,0,0,36.5268933,65.0327823
Afghanistan,Zabul,Kakar,AFG,AF2611,AF26,October,2023,0,0,32.860043,67.181449
Afghanistan,Baghlan,Baghlan-e-Jadeed,AFG,AF0905,AF09,October,2023,0,0,35.75,69.0
Afghanistan,Ghazni,Khwaja Omari,AFG,AF1103,AF11,October,2023,0,0,33.675469,68.421723
Afghanistan,Takhar,Warsaj,AFG,AF1813,AF18,October,2023,0,0,36.095972,70.138821
Afghanistan,Ghazni,Khugyani,AFG,AF1102,AF11,October,2023,0,0,33.559046,68.298941
Afghanistan,Balkh,Mazar-e-Sharif,AFG,AF2101,AF21,October,2023,2,3,36.7090366,67.1114085
Afghanistan,Badakhshan,Faiz Abad,AFG,AF1701,AF17,October,2023,2,2,36.8040254,71.367658
Afghanistan,Urozgan,Chora,AFG,AF2503,AF25,October,2023,0,0,32.930052,66.262706
Afghanistan,Zabul,Daichopan,AFG,AF2607,AF26,October,2023,0,0,32.613208,66.691227
Afghanistan,Khost,Nadir Shah Kot,AFG,AF1406,AF14,October,2023,0,0,33.381189,69.682647
Afghanistan,Parwan,Charikar,AFG,AF0301,AF03,October,2023,0,0,34.988185,69.142042
Afghanistan,Kandahar,Arghistan,AFG,AF2708,AF27,October,2023,0,0,31.520906,66.554269
Afghanistan,Kabul,Kalakan,AFG,AF0110,AF01,October,2023,0,0,34.762507,69.175586
Afghanistan,Laghman,Dawlat Shah,AFG,AF0705,AF07,October,2023,2,4,35.035862,69.99947
Afghanistan,Khost,Tanay,AFG,AF1404,AF14,October,2023,0,0,33.2516449,69.8699493
Afghanistan,Ghor,Taywara,AFG,AF2308,AF23,October,2023,0,0,33.4633888,64.3931858
Afghanistan,Nangarhar,Behsud,AFG,AF0602,AF06,October,2023,0,0,34.442764,70.50899
Afghanistan,Farah,Bakwa,AFG,AF3308,AF33,October,2023,0,0,32.214779,62.880928
Afghanistan,Herat,Kohsan,AFG,AF3213,AF32,October,2023,0,0,34.613259,61.1662
Afghanistan,Khost,Tirzayee,AFG,AF1408,AF14,October,2023,0,0,33.4014634,69.8912294
Afghanistan,Nuristan,Duab,AFG,AF1605,AF16,October,2023,1,4,35.635487,67.817259
Afghanistan,Bamyan,Shebar,AFG,AF1002,AF10,October,2023,0,0,34.7969869,67.5073393
Afghanistan,Badakhshan,Yawan,AFG,AF1709,AF17,October,2023,0,0,37.528151,70.380443
Afghanistan,Paktika,Nika,AFG,AF1213,AF12,October,2023,0,0,33.206518,69.240034
Afghanistan,Badghis,Bala Murghab,AFG,AF3105,AF31,October,2023,0,0,35.467372,63.472159
Afghanistan,Khost,Manduzay,AFG,AF1402,AF14,October,2023,0,0,33.4014634,69.8912294
Afghanistan,Ghor,Tulak,AFG,AF2309,AF23,October,2023,0,0,34.009208,63.714171
Afghanistan,Nuristan,Mandol,AFG,AF1607,AF16,October,2023,0,0,35.401354,70.247598
Afghanistan,Ghazni,Andar,AFG,AF1107,AF11,October,2023,0,0,33.305843,68.446963
Afghanistan,Kandahar,Maruf,AFG,AF2715,AF27,October,2023,0,0,31.446305,67.252742
Afghanistan,Badghis,Ab Kamari,AFG,AF3102,AF31,October,2023,0,0,34.925091,62.901713
Afghanistan,Kandahar,Daman,AFG,AF2703,AF27,October,2023,0,0,31.2911748,65.783469
Afghanistan,Kandahar,Arghandab,AFG,AF2702,AF27,October,2023,0,0,31.7752905,65.6641793
Afghanistan,Laghman,Mehterlam,AFG,AF0701,AF07,October,2023,0,0,34.783333,70.183333
Afghanistan,Parwan,Shaykh Ali,AFG,AF0310,AF03,October,2023,0,0,34.946788,68.418891
Afghanistan,Baghlan,Khost Wa Firing,AFG,AF0913,AF09,October,2023,0,0,35.904721,69.664786
Afghanistan,Takhar,Darqad,AFG,AF1815,AF18,October,2023,0,0,37.45379,69.499007
Afghanistan,Paktia,Wuza Zadran,AFG,AF1305,AF13,October,2023,0,0,33.373602,69.406975
Afghanistan,Ghor,Dawlatyar,AFG,AF2303,AF23,October,2023,0,0,34.580199,65.751475
Afghanistan,Kandahar,Miyanishin,AFG,AF2713,AF27,October,2023,0,0,32.381034,66.336451
Afghanistan,Logar,Puli Alam,AFG,AF0501,AF05,October,2023,0,0,33.9815114,69.0640012
Afghanistan,Kapisa,Hissa-e-Duwumi Kohistan,AFG,AF0202,AF02,October,2023,0,0,34.905556,69.741667
Afghanistan,Paktika,Sharan,AFG,AF1201,AF12,October,2023,0,0,33.200177,68.728497
Afghanistan,Nangarhar,Sher Zad,AFG,AF0619,AF06,October,2023,0,0,34.220389,70.3800314
